;BRL;BRL_emerg_PCA
2016-01-08;4.041500091552734;3.963
2016-01-11;3.993200063705444;4.003
2016-01-12;4.0503997802734375;4.033
2016-01-13;4.025199890136719;4.029
2016-01-14;4.014100074768066;3.994
2016-01-15;4.005899906158447;4.064
2016-01-18;4.004300117492676;4.107
2016-01-19;4.052299976348877;4.113
2016-01-20;4.0584001541137695;4.123
2016-01-21;4.101399898529053;4.199
2016-01-22;4.153500080108643;4.159
2016-01-25;4.0894999504089355;4.166
2016-01-26;4.087900161743164;4.153
2016-01-27;4.06689977645874;4.123
2016-01-28;4.104899883270264;4.119
2016-01-29;4.066999912261963;4.062
2016-02-01;3.997100114822388;4.079
2016-02-02;3.959700107574463;4.082
2016-02-03;3.985300064086914;4.069
2016-02-04;3.892299890518189;4.018
2016-02-05;3.886199951171875;4.047
2016-02-08;3.8984999656677246;4.088
2016-02-09;3.8915998935699463;4.114
2016-02-10;3.881500005722046;4.08
2016-02-11;3.926300048828125;4.12
2016-02-12;3.987499952316284;4.072
2016-02-15;3.9681999683380127;4.066
2016-02-16;3.994999885559082;4.065
2016-02-17;4.0625;4.048
2016-02-18;3.9809000492095943;3.478
2016-02-19;4.024600028991699;3.975
2016-02-22;4.01639986038208;3.942
2016-02-23;3.942800045013428;3.975
2016-02-24;3.9535000324249263;4.007
2016-02-25;3.954400062561035;3.991
2016-02-26;3.951900005340576;4.01
2016-02-29;3.9646999835968018;4.043
2016-03-01;4.012899875640869;3.988
2016-03-02;3.921999931335449;3.957
2016-03-03;3.8893001079559326;3.969
2016-03-04;3.796099901199341;3.902
2016-03-07;3.768800020217895;3.861
2016-03-08;3.781100034713745;3.874
2016-03-09;3.752700090408325;3.871
2016-03-10;3.676899909973145;3.877
2016-03-11;3.614000082015991;3.827
2016-03-14;3.571700096130371;3.793
2016-03-15;3.6549999713897705;3.817
2016-03-16;3.7623000144958496;3.813
2016-03-17;3.736599922180176;3.713
2016-03-18;3.6205999851226807;3.683
2016-03-21;3.6210999488830566;3.693
2016-03-22;3.612600088119507;3.725
2016-03-23;3.577800035476685;3.76
2016-03-24;3.6800999641418457;3.77
2016-03-25;3.6772000789642334;3.768
2016-03-28;3.683500051498413;3.751
2016-03-29;3.6772000789642334;3.724
2016-03-30;3.6349000930786137;3.687
2016-03-31;3.596100091934204;3.643
2016-04-01;3.5864999294281006;3.635
2016-04-04;3.5485999584198;3.672
2016-04-05;3.6171998977661137;3.695
2016-04-06;3.6737000942230225;3.711
2016-04-07;3.636399984359741;3.706
2016-04-08;3.6826000213623047;3.737
2016-04-11;3.586199998855591;3.721
2016-04-12;3.4885001182556152;3.649
2016-04-13;3.4825000762939453;3.641
2016-04-14;3.493499994277954;3.654
2016-04-15;3.4725000858306885;3.676
2016-04-18;3.5309998989105225;3.654
2016-04-19;3.6098999977111816;3.629
2016-04-20;3.5253000259399414;3.592
2016-04-21;3.524399995803833;3.601
2016-04-22;3.524399995803833;3.619
2016-04-25;3.562299966812134;3.699
2016-04-26;3.5504000186920166;3.701
2016-04-27;3.52020001411438;3.659
2016-04-28;3.5215001106262207;3.617
2016-04-29;3.479700088500977;3.627
2016-05-02;3.432800054550171;3.554
2016-05-03;3.496500015258789;3.594
2016-05-04;3.5548999309539795;3.671
2016-05-05;3.545399904251098;3.727
2016-05-06;3.533099889755249;3.741
2016-05-09;3.499000072479248;3.785
2016-05-10;3.513000011444092;3.781
2016-05-11;3.470400094985962;3.78
2016-05-12;3.447000026702881;3.77
2016-05-13;3.477099895477295;3.786
2016-05-16;3.5302000045776367;3.815
2016-05-17;3.494499921798706;3.795
2016-05-18;3.4860999584198;3.829
2016-05-19;3.558500051498413;3.888
2016-05-20;3.5608999729156494;3.886
2016-05-23;3.557300090789795;3.89
2016-05-24;3.566499948501587;3.896
2016-05-25;3.567300081253052;3.899
2016-05-26;3.576900005340576;3.877
2016-05-27;3.58270001411438;3.865
